product_name,category,price,description_raw,url
K-TOORA,Kids,N/A,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/k-toora/
K-WARD,Kids,N/A,Cotton Lycra Short Sleeve T-Shirt,https://solbiatosport.com/product/k-ward/
K-TITANIC,Kids,N/A,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/k-titanic/
K-BLOSSOM,Kids,N/A,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/k-blossom/
K-SHOOKA,Kids,N/A,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/k-shooka/
K-AJAR,Kids,N/A,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/k-ajar/
K-STAMP,Kids,N/A,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/k-stamp/
K-ZEPHYR,Kids,N/A,French Terry Hoodie Sweat Top,https://solbiatosport.com/product/k-zephyr/
K-JACK,Kids,N/A,French Terry Jogger,https://solbiatosport.com/product/k-jack/
K-QUADRANT,Kids,N/A,Nylon Shorts,https://solbiatosport.com/product/k-quadrant/
