product_name,category,price,description_raw,url
K-FARYAD,Kids,N/A,Cotton Lycra Short Sleeve T-Shirt,https://solbiatosport.com/product/k-faryad/
K-HOWEY,Kids,N/A,Cotton Lycra Short Sleeve T-Shirt,https://solbiatosport.com/product/k-howey/
K-ABJAD,Kids,N/A,Cotton Lycra Short Sleeve T-Shirt,https://solbiatosport.com/product/k-abjad/
K-SMILEY,Kids,N/A,Cotton Lycra Short Sleeve T-Shirt,https://solbiatosport.com/product/k-smiley/
K-DAVAR,Kids,N/A,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/k-davar/
K-BLEACHY,Kids,N/A,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/k-bleachy/
K-TRAVERSE,Kids,N/A,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/k-traverse/
K-LOWW,Kids,N/A,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/k-loww/
K-J.B.,Kids,N/A,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/k-j-b/
K-PARTICULAR,Kids,N/A,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/k-particular/
