product_name,category,price,description_raw,url
K-STEEPS,Kids,N/A,French Terry Hoodie Sweat Top,https://solbiatosport.com/product/k-steeps/
K-JAKE,Kids,N/A,French Terry Hoodie Sweat Top,https://solbiatosport.com/product/k-jake/
K-QIN,Kids,N/A,French Terry Hoodie Sweat Top,https://solbiatosport.com/product/k-qin/
K-BEGOO,Kids,N/A,Regular Fleece Hoodie Sweat Top,https://solbiatosport.com/product/k-begoo/
K-FULSHEAR,Kids,N/A,Regular Fleece Hoodie Sweat Top,https://solbiatosport.com/product/k-fulshear/
K-SHOULDERS,Kids,N/A,Noah Fabric Hoodie Sweat Top,https://solbiatosport.com/product/k-shoulders/
K-ARZESH,Kids,N/A,Noah Fabric Hoodie Sweat Top,https://solbiatosport.com/product/k-arzesh/
K-PAXX,Kids,N/A,Noah Fabric Hoodie Sweat Top,https://solbiatosport.com/product/k-paxx/
K-HAWA,Kids,N/A,Noah Fabric Hoodie Sweat Top,https://solbiatosport.com/product/k-hawa/
K-HOYA,Kids,N/A,Noah Fabric Hoodie Sweat Top,https://solbiatosport.com/product/k-hoya/
