product_name,category,price,description_raw,url
K-DARAK,Kids,N/A,Cotton Lycra Short Sleeve T-Shirt,https://solbiatosport.com/product/k-darak/
K-ZIPPING,Kids,N/A,Noah Fabric Hoodie Sweat Top,https://solbiatosport.com/product/k-zipping/
K-ROOF,Kids,N/A,Noah Fabric Hoodie Sweat Top,https://solbiatosport.com/product/k-roof/
K-EARTH,Kids,N/A,French Terry Hoodie Sweat Top,https://solbiatosport.com/product/k-earth/
K-DETOUR,Kids,N/A,French Terry Hoodie Sweat Top,https://solbiatosport.com/product/k-detour/
K-DIAMONDER,Kids,N/A,French Terry Hoodie Sweat Top,https://solbiatosport.com/product/k-diamonder/
K-REQUEST,Kids,N/A,French Terry Hoodie Sweat Top,https://solbiatosport.com/product/k-request/
K-CAMPING,Kids,N/A,Techno Fabric Hoodie Sweat Top,https://solbiatosport.com/product/k-camping/
K-TYPICAL,Kids,N/A,French Terry Hoodie Sweat Top,https://solbiatosport.com/product/k-typical/
K-PARALLEL,Kids,N/A,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/k-parallel/
