product_name,category,price,description_raw,url
K-FOXX,Kids,N/A,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/k-foxx/
K-INVISIBLE (Full Zip),Kids,N/A,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/k-invisible/
K-CRACKED,Kids,N/A,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/k-cracked/
K-DOMAIN,Kids,N/A,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/k-domain/
K-BIRTHDAY,Kids,N/A,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/k-birthday/
K-ISLE,Kids,N/A,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/k-isle/
K-MIROOR,Kids,N/A,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/k-miroor/
K-SPEAKER,Kids,N/A,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/k-speaker/
K-DIRR,Kids,N/A,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/k-dirr/
K-HIGHWAY,Kids,N/A,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/k-highway/
