product_name,category,price,description_raw,url
KILID,Accessories,N/A,Cotton Lycra Skull Cap,https://solbiatosport.com/product/kilid/
LAYUP,Accessories,N/A,<p>Cotton Lycra Skull Cap</p>,https://solbiatosport.com/product/layup/
NAIROBI,Accessories,N/A,Cotton Lycra Skull Cap,https://solbiatosport.com/product/nairobi/
RASOO,Accessories,N/A,Cotton Lycra Skull Cap,https://solbiatosport.com/product/rasoo/
BEEM,Accessories,N/A,Cotton Lycra Skull Cap,https://solbiatosport.com/product/beem/
CHINCHIN,Accessories,N/A,Cotton Lycra Skull Cap,https://solbiatosport.com/product/chinchin/
COVER,Accessories,N/A,Cotton Lycra Skull Cap,https://solbiatosport.com/product/cover/
KEMI,Accessories,N/A,Cotton Lycra Skull Cap,https://solbiatosport.com/product/kemi/
FASTER,Accessories,N/A,Skully,https://solbiatosport.com/product/faster/
PATTONI,Accessories,N/A,Cotton Lycra Skull Cap,https://solbiatosport.com/product/pattoni/
