product_name,category,price,description_raw,url
MORNING,Accessories,N/A,Cotton Lycra Skull Cap,https://solbiatosport.com/product/morning/
ZARF,Accessories,N/A,Cotton Lycra Skull Cap,https://solbiatosport.com/product/zarf/
FARIBA,Accessories,N/A,Cotton Lycra Skull Cap,https://solbiatosport.com/product/fariba/
PILLAR,Accessories,N/A,Cotton Lycra Skull Cap,https://solbiatosport.com/product/pillar/
DISTRACT,Accessories,N/A,Cotton Lycra Skull Cap,https://solbiatosport.com/product/distract/
SL-TIP,Accessories,N/A,100% Wool Hat with Stripe,https://solbiatosport.com/product/sl-tip/
SL-TAP,Accessories,N/A,100% Wool Hat,https://solbiatosport.com/product/sl-tap/
NEUTRAL BOXER BRIEFS,Accessories,N/A,Cotton Stretch Boxer Briefs,https://solbiatosport.com/product/neutral-boxer-briefs/
PLUS1,Accessories,N/A,Cotton Lycra Skull Cap,https://solbiatosport.com/product/plus1/
TIPIC,Accessories,N/A,Cotton Lycra Skull Cap,https://solbiatosport.com/product/tipic/
