product_name,category,price,description_raw,url
K-CL-French Terry Sweat Top,Kids,N/A,French Terry Hoodie Sweat Top,https://solbiatosport.com/product/k-cl-french-terry-sweat-top/
K-KAVIR,Kids,N/A,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/k-kavir/
K-CL-HOODIE TEE,Kids,N/A,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/k-cl-hoodie-tee/
K-CL-SLIPPY BULL TEE,Kids,N/A,Slippy Short Sleeve T-Shirt,https://solbiatosport.com/product/k-cl-slippy-bull-tee/
K-ROCKY COLORS,Kids,N/A,French Terry Zip-Neck Sweat Top,https://solbiatosport.com/product/k-rocky-colors/
K-CL-French Terry Jogger,Kids,N/A,French Terry Joggers,https://solbiatosport.com/product/k-cl-jogger/
K-BLENDER,Kids,N/A,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/k-blender/
K-BAY BRIDGE,Kids,N/A,Cotton Lycra Short Sleeve T-Shirt,https://solbiatosport.com/product/k-bay-bridge/
K-GOOSE,Kids,N/A,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/k-goose/
K-EXIT,Kids,N/A,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/k-exit/
