product_name,category,price,description_raw,url
K-CODDY,Kids,N/A,Nylon Shorts,https://solbiatosport.com/product/k-coddy/
K-RODDY,Kids,N/A,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/k-roddy/
K-VACIATO,Kids,N/A,Cotton Lycra Short Sleeve T-Shirt,https://solbiatosport.com/product/k-vaciato/
K-YETA,Kids,N/A,French Terry Shorts,https://solbiatosport.com/product/k-yeta/
K-MADA,Kids,N/A,French Terry Joggers,https://solbiatosport.com/product/k-mada/
K-MEESH,Kids,N/A,French Terry Joggers,https://solbiatosport.com/product/k-meesh/
K-ADIYELA,Kids,N/A,French Terry Joggers,https://solbiatosport.com/product/k-adiyela/
K-ADDA,Kids,N/A,French Terry Hoodie Sweat Top,https://solbiatosport.com/product/k-adda/
K-ESMO,Kids,N/A,French Terry Hoodie Sweat Top,https://solbiatosport.com/product/k-esmo/
K-NESFO,Kids,N/A,Techno Fabric Hoodie Sweat Top,https://solbiatosport.com/product/k-nesfo/
