product_name,category,price,description_raw,url
K-VERTEX,Kids,N/A,French Terry Shorts,https://solbiatosport.com/product/k-vertex/
K-SHIMA,Kids,N/A,French Terry Shorts,https://solbiatosport.com/product/k-shima/
K-MAASH,Kids,N/A,Nylon Shorts,https://solbiatosport.com/product/k-maash/
K-DIGITS,Kids,N/A,French Terry Joggers,https://solbiatosport.com/product/k-digits/
K-VILIDGE,Kids,N/A,French Terry Joggers,https://solbiatosport.com/product/k-vilidge/
K-SARI,Kids,N/A,Techno Fabric Hoodie Sweat Top,https://solbiatosport.com/product/k-sari/
K-HARBOR,Kids,N/A,French Terry Hoodie Sweat Top,https://solbiatosport.com/product/k-harbor/
K-NETTING,Kids,N/A,French Terry Hoodie Sweat Top,https://solbiatosport.com/product/k-netting/
K-REPTOWN,Kids,N/A,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/k-reptown/
K-NICHO,Kids,N/A,Techno Fabric Hoodie Sweat Top,https://solbiatosport.com/product/k-nicho/
