product_name,category,price,description_raw,url
K-DIVAN,Kids,N/A,French Terry Hoodie Sweat Top,https://solbiatosport.com/product/k-divan/
K-TUB,Kids,N/A,French Terry Hoodie Sweat Top,https://solbiatosport.com/product/k-tub/
K-NAAN,Kids,N/A,French Terry Hoodie Sweat Top,https://solbiatosport.com/product/k-naan/
K-YOOZ,Kids,N/A,French Terry Hoodie Sweat Top,https://solbiatosport.com/product/k-yooz/
K-ROOSTA,Kids,N/A,French Terry Hoodie Sweat Top,https://solbiatosport.com/product/k-roosta/
K-BIDO,Kids,N/A,French Terry Hoodie Sweat Top,https://solbiatosport.com/product/k-bido/
K-ALEXIS,Kids,N/A,French Terry Hoodie Sweat Top,https://solbiatosport.com/product/k-alexis/
K-LOOS,Kids,N/A,French Terry Hoodie Sweat Top,https://solbiatosport.com/product/k-loos/
K-ARMAN,Kids,N/A,French Terry Hoodie Sweat Top,https://solbiatosport.com/product/k-arman/
K-ATISH,Kids,N/A,French Terry Hoodie Sweat Top,https://solbiatosport.com/product/k-atish/
