product_name,category,description_raw,url
BUXX,Sport-Bottoms,Techno Fabric Joggers,https://solbiatosport.com/product/buxx/
WAA,Sport-Bottoms,Nylon Sweat Pants,https://solbiatosport.com/product/waa/
SHARE,Sport-Bottoms,French Terry Cargo Pants,https://solbiatosport.com/product/share/
SEFID,Sport-Bottoms,Heavy Nylon Cargo Pants,https://solbiatosport.com/product/sefid/
POOSH,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/poosh/
MANHATTAN,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/manhattan/
JOSEPH,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/joseph/
GASHT,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/gasht/
HESHI,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/heshi/
ELEGANT,Sport-Bottoms,Nylon Sweat Pants,https://solbiatosport.com/product/elegant/
EJECT,Sport-Bottoms,French Terry Cargo Pants,https://solbiatosport.com/product/eject/
CREED,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/creed/
BRESCO,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/bresco/
BROOD,Sport-Bottoms,Lightweight Stretch Nylon Jogger,https://solbiatosport.com/product/brood/
BEDI,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/bedi/
BLINK,Sport-Bottoms,Noah Fabric Joggers,https://solbiatosport.com/product/blink/
APPO,Sport-Bottoms,Noah Fabric Joggers,https://solbiatosport.com/product/appo/
AYNEH,Sport-Bottoms,Regular Fleece Joggers,https://solbiatosport.com/product/ayneh/
ALOO,Sport-Bottoms,Lightweight Stretch Nylon Jogger,https://solbiatosport.com/product/aloo/
AFARIN,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/afarin/
BARD,Sport-Bottoms,Noah Fabric Joggers,https://solbiatosport.com/product/bard/
GALA,Sport-Bottoms,French Terry Shorts,https://solbiatosport.com/product/gala/
AFTERNOON,Sport-Bottoms,French Terry Shorts,https://solbiatosport.com/product/afternoon/
TEXT,Sport-Bottoms,Nylon Shorts,https://solbiatosport.com/product/text/
CODDY,Sport-Bottoms,Nylon Shorts,https://solbiatosport.com/product/coddy/
KAARO,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/kaaro/
MADA,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/mada/
MOFFLE,Sport-Bottoms,Techno Fabric Joggers,https://solbiatosport.com/product/moffle/
NIMM,Sport-Bottoms,Techno Fabric Joggers,https://solbiatosport.com/product/nimm/
FIREBALL,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/fireball/
FEET,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/feet/
BARG,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/barg/
LIMO,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/limo/
ADIYELA,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/adiyela/
ZAN,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/zan/
COW,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/cow/
NONE,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/none/
PEROSA,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/perosa/
TAVANA,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/tavana/
FEE,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/fee/
