product_name,category,price,description_raw,url
BULL,Accessories,N/A,,https://solbiatosport.com/product/bull/
FLASH,Accessories,N/A,,https://solbiatosport.com/product/flash/
LASER,Accessories,N/A,,https://solbiatosport.com/product/laser/
BANK,Accessories,N/A,,https://solbiatosport.com/product/bank/
SOLBIATO RETURN,Accessories,N/A,Cotton Lycra Head Band,https://solbiatosport.com/product/solbiato-return/
Solbiato Band,Accessories,N/A,Cotton Lycra Headband,https://solbiatosport.com/product/solbiato-band/
Solbiato Final,Accessories,N/A,Cotton Lycra Head Band,https://solbiatosport.com/product/solbiato-final/
Sidelogo Boxers,Accessories,N/A,Cotton Boxer-Briefs,https://solbiatosport.com/product/sidelogo-boxers/
Colorful Boxers,Accessories,N/A,,https://solbiatosport.com/product/colorful-boxers/
Socks Model #4,Accessories,N/A,,https://solbiatosport.com/product/socks-model-4/
