product_name,category,price,description_raw,url
K-OSHIN,Kids,N/A,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/k-oshin/
K-AFSOON,Kids,N/A,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/k-afsoon/
K-SPIDER,Kids,N/A,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/k-spider/
K-DOVE,Kids,N/A,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/k-dove/
K-LIVANA,Kids,N/A,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/k-livana/
K-TURK,Kids,N/A,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/k-turk/
K-DIGI,Kids,N/A,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/k-digi/
K-KARAT,Kids,N/A,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/k-karat/
K-MARRS,Kids,N/A,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/k-marrs/
K-RAHA,Kids,N/A,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/k-raha/
