product_name,category,price,description_raw,url
K-CARRIER,Kids,N/A,Cotton Lycra Short Sleeve T-Shirt,https://solbiatosport.com/product/k-carrier/
K-ZERO,Kids,N/A,Cotton Lycra Short Sleeve T-Shirt,https://solbiatosport.com/product/k-zero/
K-BEHBOOD,Kids,N/A,Cotton Lycra Short Sleeve T-Shirt,https://solbiatosport.com/product/k-behbood/
K-NEW-D,Kids,N/A,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/k-new-d/
K-AMSTERDAM,Kids,N/A,Cotton Lycra Short Sleeve T-Shirt,https://solbiatosport.com/product/k-amsterdam/
K-JOSE,Kids,N/A,Cotton Lycra Short Sleeve T-Shirt,https://solbiatosport.com/product/k-jose/
K-NISTI,Kids,N/A,Cotton Lycra Short Sleeve T-Shirt,https://solbiatosport.com/product/k-nisti/
K-GOOLD,Kids,N/A,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/k-goold/
K-BOWL,Kids,N/A,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/k-bowl/
K-LEAGUE,Kids,N/A,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/k-league/
